image_name,blur_score,brightness,contrast,edge_count,damage_percent,restoration_cost
07_RESTORATION_BEFORE.png,1532.876678,136.90271,82.43373597,4140,8.28,249.0519429
alex-before.jpg,804.0653803,87.15715027,41.09946946,3257,6.514,196.6621351
angel.jpg,469.0781463,147.3530273,44.1945592,2796,5.592,169.8873059
ArchimedesConservation_05-before.png,701.2456482,58.59036255,34.79970171,2803,5.606,169.6040031
arena-before.jpg,89.401504,85.31228638,18.23227395,635,1.27,49.16176287
arkansas-before.png,416.1920237,133.8993835,28.70172166,4498,8.996,272.2769778
artrestoration_before.png,1185.195678,135.9689484,62.73306202,5483,10.966,329.8230312
avant-apres-Loquidy-before.png,3064.281313,136.6894531,40.00509759,11291,22.582,677.7862343
baby-before.png,993.322836,95.62864685,53.16520729,8371,16.742,503.2657096
baby_before.png,80.4977142,139.784668,27.60897852,1558,3.116,105.7502828
Before-.png,6023.58599,99.67895508,45.45950682,16246,32.492,974.9259865
Before-and-after-Salvador-Mundi-before.png,8283.818869,59.27549744,48.0355568,11901,23.802,714.1807027
before-and-after-treatment-oil-on-canvas-before.png,1610.469039,86.81852722,40.8978142,5722,11.444,343.9405518
before.png,189.6679067,104.4644012,37.59175805,2032,4.064,127.1647211
beforelady.png,565.1045799,97.99832153,71.07160797,3839,7.678,232.1064581
before_painting.png,546.2230815,88.28486633,71.05951773,6398,12.796,385.7074083
blue-before.jpg,340.9138342,79.86668396,34.93509393,5877,11.754,355.5447135
bonnet-lady-before.png,105.8210096,128.7671356,42.61589768,921,1.842,64.62145431
boston_oil_before.png,290.485112,69.83448792,35.06603435,3323,6.646,202.810707
Botticelli-before.png,1423.253412,104.5919037,66.12528804,6066,12.132,364.6621222
cherain-bros-before.png,741.286865,114.4927063,23.90595592,4030,8.06,243.1471881
child-before.jpg,1075.109335,47.69419861,29.13296241,1048,2.096,63.8092736
chopin-before.jpg,3517.417257,99.74559021,39.98163741,13784,27.568,827.3242187
chopin_before.png,5936.979628,95.3793335,40.337482,13735,27.47,824.2684074
christ-before.jpg,120.2398225,17.7038269,12.79478177,537,1.074,40.46811501
christ2-before.jpg,589.0458878,88.37208557,27.75267379,1200,2.4,73.69478344
christ3-before.jpg,779.6202354,100.7207336,26.1511085,4194,8.388,252.9210326
christ4-before.jpg,4884.010397,67.21299744,50.61279206,5564,11.128,334.0447079
christ_before.png,597.0600715,98.9666748,22.97270813,3231,6.462,195.5320728
comparison-full-before.png,730.5479568,71.88845825,56.66827243,5370,10.74,323.5669644
crack-before.jpg,3104.410947,82.27742004,34.00068557,16591,33.182,995.7820186
cracked-painting-restoration-before.png,1059.057131,129.1927032,38.22802609,5606,11.212,337.3033454
crows-before.jpg,5421.412747,107.5385437,58.97798685,16962,33.924,1017.90442
